Name,freq
Name,4
Ailana,1
Akau,1
Olina,4
A'ala,7
A'ia'i,2
Ahe,2
Ahonui,1
Ahuahu,1
Ailani,1
Ainakea,1
Akahi,1
Akamu,1
Akau,1
Akiliano,1
Akoni,1
Alaka'i,2
Alamea,2
Alana,1
Alapai,1
Alaula,1
Alebana,8
Alekanekeio,3
Ali'ikai,1
Alika,1
Alo,1
Aloha,1
Alohi,31
Aloiki,3
Amosa,3
Anela,1
Ano,1
Anuenue,10
Aolani,1
Apekalmoa,1
Apela,4
Apikaila,1
Aukai,1
Edena,1
Ekewaka,1
Eleu,1
Haleakala,9
Hali'a,1
Hanohano,1
Haoa,1
Hauoli,3
Havika,1
Heiau,9
Hema,1
He pohaku,34
Hiapo,1
Hoʻomana,2
Ikaika,3
Iki,1
Inoa,2
Iokepa,1
Iolana,1
Iolani,1
Io lani,3
Ionakana,4
Ka'ahumanu,1
Ka'eo,1
Kahale,2
Kahikū,1
Ka Hiwa,4
Kaholo,2
Kai,3
Kaia,2
Kailani,2
Kaili,4
Kailua,1
Kaimana,1
Kainalu,4
Kainoa,2
Kaipo,1
Kalākaua,1
Kalama,1
Kalani,1
Kalea,1
Kalena,1
Kaleo,1
Kamea,1
Ka mea ʻimi,2
Kamehameha,1
Kanakamana,1
Kanani,1
Kane,13
Kanoa,29
Kapu,2
Kapua,1
Kaulana,1
Kawika,2
Ke'ala,1
Keaka,1
Kealakekua,1
Kealoha,1
Keandra,1
Keawe,1
Keilani,1
Kekapa,2
Kekoa,2
Keola,1
Keona,2
Keone,1
Kiele,9
Kimo,4
Kimokea,1
Koa,1
Koa ikaika,2
Konane,13
Koukakala,2
Ku`u Hoaloha `Oi,4
Ku`u Maka,1
KuLopaka,1
Kumulāʻau,1
La,1
Laka,1
Lani,1
Lani-kai,1
Lei,1
Leilani,3
Lili'uokalani,1
Lokela,17
Lokelani,2
Lono,1
Lulua 'ina,2
Mahi'ai,1
Mahina,1
Māhoe,4
Maka,5
Makana,2
Makani,1
Makaʻala,1
Malie,1
Malu,7
Mamo,5
Mana,5
Mana'o,1
Manu,5
Meka,1
Mele,2
Mililani,7
Mino'aka,2
Moana,1
Na'au,1
Nahele,108
Nalani,13
Nani,5
Nani kōkī,2
Nikolao,1
Noelani,228
Nohea,1
Oliana,2
Oliwa,3
Onaona,1
Pakelika,1
Palani,2
Palila,1
Pele,3
Peni,1
Pikake,3
Pilialoha,1
Pōhaku,4
Polunu,1
Pua,1
Pualani,1
Pukalani,1
Pule,1
Punahele,1
Roselani,1
Ualoheke Akua,2
Uluwehi,1
Wai nani,5
Wena,1
Lee,1
Wong,1
Kim,5
Young,1
Smith,1
Chang,1
Nakamura,1
Chun,1
Ching,5
Lau,2
Higa,1
Yamamoto,1
Lum,1
Tanaka,1
Johnson,3
Oshiro,1
Brown,1
Watanabe,1
Williams,3
Silva,1
Sato,3
